X,Y,Z,X,Y,Z,X,Y,Z
13726.533,3310513.194,269.496,13725.642,3310503.234,268.989,13727.136,3310503.101,268.959
13726.533,3310513.194,269.496,13727.136,3310503.101,268.959,13728.027,3310513.061,269.466
13728.027,3310513.061,269.466,13727.136,3310503.101,268.959,13730.522,3310502.798,269.044
13728.027,3310513.061,269.466,13730.522,3310502.798,269.044,13731.413,3310512.758,269.551
13731.413,3310512.758,269.551,13730.522,3310502.798,269.044,13733.909,3310502.495,269.129
13731.413,3310512.758,269.551,13733.909,3310502.495,269.129,13734.8,3310512.455,269.636
13734.8,3310512.455,269.636,13733.909,3310502.495,269.129,13735.403,3310502.361,269.159
13734.8,3310512.455,269.636,13735.403,3310502.361,269.159,13736.294,3310512.321,269.666
13736.294,3310512.321,269.666,13735.403,3310502.361,269.159,13736.892,3310512.268,269.366
13736.892,3310512.268,269.366,13735.403,3310502.361,269.159,13736,3310502.308,268.859
13736.892,3310512.268,269.366,13736,3310502.308,268.859,13737.19,3310512.241,269.666
13737.19,3310512.241,269.666,13736,3310502.308,268.859,13736.299,3310502.281,269.159
13725.636,3310513.265,269.496,13725.638,3310509.493,269.305,13725.935,3310513.248,269.196
13725.59,3310513.277,269.542,13725.638,3310509.493,269.305,13725.636,3310513.265,269.496
13725.636,3310513.275,269.496,13725.935,3310513.248,269.196,13726.826,3310523.208,269.704
13726.826,3310523.208,269.704,13725.935,3310513.248,269.196,13727.424,3310523.155,270.004
13727.424,3310523.155,270.004,13725.935,3310513.248,269.196,13726.533,3310513.194,269.496
13725.636,3310513.265,269.496,13725.935,3310513.248,269.196,13725.636,3310513.275,269.496
13727.424,3310523.155,270.004,13726.533,3310513.194,269.496,13728.918,3310523.021,269.974
13728.918,3310523.021,269.974,13726.533,3310513.194,269.496,13728.027,3310513.061,269.466
13728.918,3310523.021,269.974,13728.027,3310513.061,269.466,13732.304,3310522.718,270.059
13732.304,3310522.718,270.059,13728.027,3310513.061,269.466,13731.413,3310512.758,269.551
13732.304,3310522.718,270.059,13731.413,3310512.758,269.551,13735.691,3310522.415,270.144
13735.691,3310522.415,270.144,13731.413,3310512.758,269.551,13734.8,3310512.455,269.636
13735.691,3310522.415,270.144,13734.8,3310512.455,269.636,13737.099,3310521.319,270.174
13737.099,3310521.319,270.174,13734.8,3310512.455,269.636,13736.294,3310512.321,269.666
13729.364,3310528.001,270.229,13732.304,3310522.718,270.059,13732.75,3310527.698,270.314
13732.75,3310527.698,270.314,13732.304,3310522.718,270.059,13735.691,3310522.415,270.144
13728.918,3310523.021,269.974,13732.304,3310522.718,270.059,13729.364,3310528.001,270.229
13732.75,3310527.698,270.314,13735.691,3310522.415,270.144,13747.093,3310526.415,270.674
13747.093,3310526.415,270.674,13735.691,3310522.415,270.144,13737.099,3310521.319,270.174
13747.093,3310526.415,270.674,13737.099,3310521.319,270.174,13748.501,3310525.319,270.704
13748.501,3310525.319,270.704,13737.099,3310521.319,270.174,13737.662,3310520.881,269.874
13737.662,3310520.881,269.874,13737.099,3310521.319,270.174,13736.294,3310512.321,269.666
13737.662,3310520.881,269.874,13736.294,3310512.321,269.666,13736.892,3310512.268,269.366
13737.19,3310512.241,269.666,13736.299,3310502.281,269.159,13737.87,3310512.18,270.348
